id,dataset,fire
img_000001.jpg,FASDD,1
img_000002.jpg,FASDD,1
img_000003.jpg,FASDD,1
img_000004.jpg,FASDD,1
img_000005.jpg,FASDD,1
img_000006.jpg,FASDD,1
img_000007.jpg,FASDD,1
img_000008.jpg,FASDD,1
img_000009.jpg,FASDD,1
img_000010.jpg,FASDD,1
img_000011.jpg,FASDD,1
img_000012.jpg,FASDD,1
img_000013.jpg,FASDD,1
img_000014.jpg,FASDD,1
img_000015.jpg,FASDD,1
img_000016.jpg,FASDD,1
img_000017.jpg,FASDD,1
img_000018.jpg,FASDD,1
img_000019.jpg,FASDD,1
img_000020.jpg,FASDD,1
img_000021.jpg,FASDD,1
img_000022.jpg,FASDD,1
img_000023.jpg,FASDD,1
img_000024.jpg,FASDD,1
img_000025.jpg,FASDD,1
img_000026.jpg,FASDD,1
img_000027.jpg,FASDD,1
img_000028.jpg,FASDD,1
img_000029.jpg,FASDD,1
img_000030.jpg,FASDD,1
img_000031.jpg,FASDD,1
img_000032.jpg,FASDD,1
img_000033.jpg,FASDD,1
img_000034.jpg,FASDD,1
img_000035.jpg,FASDD,1
img_000036.jpg,FASDD,1
img_000037.jpg,FASDD,1
img_000038.jpg,FASDD,1
img_000039.jpg,FASDD,1
img_000040.jpg,FASDD,1
img_000041.jpg,FASDD,1
img_000042.jpg,FASDD,1
img_000043.jpg,FASDD,1
img_000044.jpg,FASDD,1
img_000045.jpg,FASDD,1
img_000046.jpg,FASDD,1
img_000047.jpg,FASDD,1
img_000048.jpg,FASDD,1
img_000049.jpg,FASDD,1
img_000050.jpg,FASDD,1
img_000051.jpg,FASDD,1
img_000052.jpg,FASDD,1
img_000053.jpg,FASDD,1
img_000054.jpg,FASDD,1
img_000055.jpg,FASDD,1
img_000056.jpg,FASDD,1
img_000057.jpg,FASDD,1
img_000058.jpg,FASDD,1
img_000059.jpg,FASDD,1
img_000060.jpg,FASDD,1
img_000061.jpg,FASDD,1
img_000062.jpg,FASDD,1
img_000063.jpg,FASDD,1
img_000064.jpg,FASDD,1
img_000065.jpg,FASDD,1
img_000066.jpg,FASDD,1
img_000067.jpg,FASDD,1
img_000068.jpg,FASDD,1
img_000069.jpg,FASDD,1
img_000070.jpg,FASDD,1
img_000071.jpg,FASDD,1
img_000072.jpg,FASDD,1
img_000073.jpg,FASDD,1
img_000074.jpg,FASDD,1
img_000075.jpg,FASDD,1
img_000076.jpg,FASDD,1
img_000077.jpg,FASDD,1
img_000078.jpg,FASDD,1
img_000079.jpg,FASDD,1
img_000080.jpg,FASDD,1
img_000081.jpg,FASDD,1
img_000082.jpg,FASDD,1
img_000083.jpg,FASDD,1
img_000084.jpg,FASDD,1
img_000085.jpg,FASDD,1
img_000086.jpg,FASDD,1
img_000087.jpg,FASDD,1
img_000088.jpg,FASDD,1
img_000089.jpg,FASDD,1
img_000090.jpg,FASDD,1
img_000091.jpg,FASDD,1
img_000092.jpg,FASDD,1
img_000093.jpg,FASDD,1
img_000094.jpg,FASDD,1
img_000095.jpg,FASDD,1
img_000096.jpg,FASDD,1
img_000097.jpg,FASDD,1
img_000098.jpg,FASDD,1
img_000099.jpg,FASDD,1
img_000100.jpg,FASDD,1
img_000101.jpg,FASDD,1
img_000102.jpg,FASDD,1
img_000103.jpg,FASDD,1
img_000104.jpg,FASDD,1
img_000105.jpg,FASDD,1
img_000106.jpg,FASDD,1
img_000107.jpg,FASDD,1
img_000108.jpg,FASDD,1
img_000109.jpg,FASDD,1
img_000110.jpg,FASDD,1
img_000111.jpg,FASDD,1
img_000112.jpg,FASDD,1
img_000113.jpg,FASDD,1
img_000114.jpg,FASDD,1
img_000115.jpg,FASDD,1
img_000116.jpg,FASDD,1
img_000117.jpg,FASDD,1
img_000118.jpg,FASDD,1
img_000119.jpg,FASDD,1
img_000120.jpg,FASDD,1
img_000121.jpg,FASDD,1
img_000122.jpg,FASDD,1
img_000123.jpg,FASDD,1
img_000124.jpg,FASDD,1
img_000125.jpg,FASDD,1
img_000126.jpg,FASDD,1
img_000127.jpg,FASDD,1
img_000128.jpg,FASDD,1
img_000129.jpg,FASDD,1
img_000130.jpg,FASDD,1
img_000131.jpg,FASDD,1
img_000132.jpg,FASDD,1
img_000133.jpg,FASDD,1
img_000134.jpg,FASDD,1
img_000135.jpg,FASDD,1
img_000136.jpg,FASDD,1
img_000137.jpg,FASDD,1
img_000138.jpg,FASDD,1
img_000139.jpg,FASDD,1
img_000140.jpg,FASDD,1
img_000141.jpg,FASDD,1
img_000142.jpg,FASDD,1
img_000143.jpg,FASDD,1
img_000144.jpg,FASDD,1
img_000145.jpg,FASDD,1
img_000146.jpg,FASDD,1
img_000147.jpg,FASDD,1
img_000148.jpg,FASDD,1
img_000149.jpg,FASDD,1
img_000150.jpg,FASDD,1
img_000151.jpg,FASDD,1
img_000152.jpg,FASDD,1
img_000153.jpg,FASDD,1
img_000154.jpg,FASDD,1
img_000155.jpg,FASDD,1
img_000156.jpg,FASDD,1
img_000157.jpg,FASDD,1
img_000158.jpg,FASDD,1
img_000159.jpg,FASDD,1
img_000160.jpg,FASDD,1
img_000161.jpg,FASDD,1
img_000162.jpg,FASDD,1
img_000163.jpg,FASDD,1
img_000164.jpg,FASDD,1
img_000165.jpg,FASDD,1
img_000166.jpg,FASDD,1
img_000167.jpg,FASDD,1
img_000168.jpg,FASDD,1
img_000169.jpg,FASDD,1
img_000170.jpg,FASDD,1
img_000171.jpg,FASDD,1
img_000172.jpg,FASDD,1
img_000173.jpg,FASDD,1
img_000174.jpg,FASDD,1
img_000175.jpg,FASDD,1
img_000176.jpg,FASDD,1
img_000177.jpg,FASDD,1
img_000178.jpg,FASDD,1
img_000179.jpg,FASDD,1
img_000180.jpg,FASDD,1
img_000181.jpg,FASDD,1
img_000182.jpg,FASDD,1
img_000183.jpg,FASDD,1
img_000184.jpg,FASDD,1
img_000185.jpg,FASDD,1
img_000186.jpg,FASDD,1
img_000187.jpg,FASDD,1
img_000188.jpg,FASDD,1
img_000189.jpg,FASDD,1
img_000190.jpg,FASDD,1
img_000191.jpg,FASDD,1
img_000192.jpg,FASDD,1
img_000193.jpg,FASDD,1
img_000194.jpg,FASDD,1
img_000195.jpg,FASDD,1
img_000196.jpg,FASDD,1
img_000197.jpg,FASDD,1
img_000198.jpg,FASDD,1
img_000199.jpg,FASDD,1
img_000200.jpg,FASDD,1
img_000201.jpg,FASDD,1
img_000202.jpg,FASDD,1
img_000203.jpg,FASDD,1
img_000204.jpg,FASDD,1
img_000205.jpg,FASDD,1
img_000206.jpg,FASDD,1
img_000207.jpg,FASDD,1
img_000208.jpg,FASDD,1
img_000209.jpg,FASDD,1
img_000210.jpg,FASDD,1
img_000211.jpg,FASDD,1
img_000212.jpg,FASDD,1
img_000213.jpg,FASDD,1
img_000214.jpg,FASDD,1
img_000215.jpg,FASDD,1
img_000216.jpg,FASDD,1
img_000217.jpg,FASDD,1
img_000218.jpg,FASDD,1
img_000219.jpg,FASDD,1
img_000220.jpg,FASDD,1
img_000221.jpg,FASDD,1
img_000222.jpg,FASDD,1
img_000223.jpg,FASDD,1
img_000224.jpg,FASDD,1
img_000225.jpg,FASDD,1
img_000226.jpg,FASDD,1
img_000227.jpg,FASDD,1
img_000228.jpg,FASDD,1
img_000229.jpg,FASDD,1
img_000230.jpg,FASDD,1
img_000231.jpg,FASDD,1
img_000232.jpg,FASDD,1
img_000233.jpg,FASDD,1
img_000234.jpg,FASDD,1
img_000235.jpg,FASDD,1
img_000236.jpg,FASDD,1
img_000237.jpg,FASDD,1
img_000238.jpg,FASDD,1
img_000239.jpg,FASDD,1
img_000240.jpg,FASDD,1
img_000241.jpg,FASDD,1
img_000242.jpg,FASDD,1
img_000243.jpg,FASDD,1
img_000244.jpg,FASDD,1
img_000245.jpg,FASDD,1
img_000246.jpg,FASDD,1
img_000247.jpg,FASDD,1
img_000248.jpg,FASDD,1
img_000249.jpg,FASDD,1
img_000250.jpg,FASDD,1
img_000251.jpg,FASDD,1
