image,folder,true_label,error_type
img_000013.jpg,Fire,1,FN
img_000022.jpg,Fire,1,FN
img_000037.jpg,Fire,1,FN
img_000040.jpg,Fire,1,FN
img_000043.jpg,Fire,1,FN
img_000046.jpg,Fire,1,FN
img_000049.jpg,Fire,1,FN
img_000052.jpg,Fire,1,FN
img_000055.jpg,Fire,1,FN
img_000058.jpg,Fire,1,FN
img_000061.jpg,Fire,1,FN
img_000064.jpg,Fire,1,FN
img_000067.jpg,Fire,1,FN
img_000070.jpg,Fire,1,FN
img_000073.jpg,Fire,1,FN
img_000076.jpg,Fire,1,FN
img_000079.jpg,Fire,1,FN
img_000082.jpg,Fire,1,FN
img_000085.jpg,Fire,1,FN
img_000088.jpg,Fire,1,FN
img_000091.jpg,Fire,1,FN
img_000094.jpg,Fire,1,FN
img_000097.jpg,Fire,1,FN
img_000100.jpg,Fire,1,FN
img_000103.jpg,Fire,1,FN
img_000106.jpg,Fire,1,FN
img_000112.jpg,Fire,1,FN
img_000115.jpg,Fire,1,FN
img_000118.jpg,Fire,1,FN
img_000121.jpg,Fire,1,FN
img_000124.jpg,Fire,1,FN
img_000127.jpg,Fire,1,FN
img_000130.jpg,Fire,1,FN
img_000133.jpg,Fire,1,FN
img_000136.jpg,Fire,1,FN
img_000139.jpg,Fire,1,FN
img_000142.jpg,Fire,1,FN
img_000145.jpg,Fire,1,FN
img_000148.jpg,Fire,1,FN
img_000151.jpg,Fire,1,FN
img_000154.jpg,Fire,1,FN
img_000157.jpg,Fire,1,FN
img_000160.jpg,Fire,1,FN
img_000163.jpg,Fire,1,FN
img_000166.jpg,Fire,1,FN
img_000169.jpg,Fire,1,FN
img_000262.jpg,Fire,1,FN
img_000271.jpg,Fire,1,FN
img_000288.jpg,Fire,1,FN
img_000291.jpg,Fire,1,FN
img_000294.jpg,Fire,1,FN
img_000312.jpg,Fire,1,FN
img_000315.jpg,Fire,1,FN
img_000321.jpg,Fire,1,FN
img_000324.jpg,Fire,1,FN
img_000327.jpg,Fire,1,FN
img_000330.jpg,Fire,1,FN
img_000333.jpg,Fire,1,FN
img_000336.jpg,Fire,1,FN
img_000339.jpg,Fire,1,FN
img_000342.jpg,Fire,1,FN
img_000345.jpg,Fire,1,FN
img_000348.jpg,Fire,1,FN
img_000351.jpg,Fire,1,FN
img_000354.jpg,Fire,1,FN
img_000357.jpg,Fire,1,FN
img_000360.jpg,Fire,1,FN
img_000363.jpg,Fire,1,FN
img_000366.jpg,Fire,1,FN
img_000369.jpg,Fire,1,FN
img_000372.jpg,Fire,1,FN
img_000471.jpg,Fire,1,FN
img_000513.jpg,Fire,1,FN
img_000583.jpg,Fire,1,FN
img_000586.jpg,Fire,1,FN
img_000589.jpg,Fire,1,FN
img_000592.jpg,Fire,1,FN
img_000595.jpg,Fire,1,FN
img_000598.jpg,Fire,1,FN
img_000616.jpg,Fire,1,FN
img_000619.jpg,Fire,1,FN
img_000622.jpg,Fire,1,FN
img_000625.jpg,Fire,1,FN
img_000628.jpg,Fire,1,FN
img_000631.jpg,Fire,1,FN
img_000634.jpg,Fire,1,FN
img_000637.jpg,Fire,1,FN
img_000640.jpg,Fire,1,FN
img_000643.jpg,Fire,1,FN
img_000646.jpg,Fire,1,FN
img_000649.jpg,Fire,1,FN
img_000652.jpg,Fire,1,FN
img_000655.jpg,Fire,1,FN
img_000658.jpg,Fire,1,FN
img_000661.jpg,Fire,1,FN
img_000664.jpg,Fire,1,FN
img_000667.jpg,Fire,1,FN
img_000670.jpg,Fire,1,FN
img_000673.jpg,Fire,1,FN
img_000676.jpg,Fire,1,FN
img_000679.jpg,Fire,1,FN
img_000682.jpg,Fire,1,FN
img_000685.jpg,Fire,1,FN
img_000688.jpg,Fire,1,FN
img_000691.jpg,Fire,1,FN
img_000694.jpg,Fire,1,FN
img_000697.jpg,Fire,1,FN
img_000700.jpg,Fire,1,FN
img_000703.jpg,Fire,1,FN
img_000706.jpg,Fire,1,FN
img_000709.jpg,Fire,1,FN
img_000730.jpg,Fire,1,FN
img_000733.jpg,Fire,1,FN
img_000736.jpg,Fire,1,FN
img_000739.jpg,Fire,1,FN
img_000742.jpg,Fire,1,FN
img_000745.jpg,Fire,1,FN
img_000748.jpg,Fire,1,FN
img_000751.jpg,Fire,1,FN
img_000781.jpg,Fire,1,FN
img_000784.jpg,Fire,1,FN
img_000787.jpg,Fire,1,FN
img_000790.jpg,Fire,1,FN
img_000796.jpg,Fire,1,FN
img_000802.jpg,Fire,1,FN
img_000805.jpg,Fire,1,FN
img_000808.jpg,Fire,1,FN
img_000814.jpg,Fire,1,FN
img_000817.jpg,Fire,1,FN
img_000823.jpg,Fire,1,FN
img_000826.jpg,Fire,1,FN
img_000847.jpg,Fire,1,FN
img_000850.jpg,Fire,1,FN
img_000853.jpg,Fire,1,FN
img_000859.jpg,Fire,1,FN
img_000862.jpg,Fire,1,FN
img_000865.jpg,Fire,1,FN
img_000868.jpg,Fire,1,FN
img_000871.jpg,Fire,1,FN
