id,dataset,fire,smoke,thermal_id
fire_0001.jpg,Forest Fire Dataset,1,,
fire_0002.jpg,Forest Fire Dataset,1,,
fire_0003.jpg,Forest Fire Dataset,1,,
fire_0004.jpg,Forest Fire Dataset,1,,
fire_0005.jpg,Forest Fire Dataset,1,,
fire_0006.jpg,Forest Fire Dataset,1,,
fire_0007.jpg,Forest Fire Dataset,1,,
fire_0008.jpg,Forest Fire Dataset,1,,
fire_0009.jpg,Forest Fire Dataset,1,,
fire_0010.jpg,Forest Fire Dataset,1,,
fire_0011.jpg,Forest Fire Dataset,1,,
fire_0012.jpg,Forest Fire Dataset,1,,
fire_0013.jpg,Forest Fire Dataset,1,,
fire_0014.jpg,Forest Fire Dataset,1,,
fire_0015.jpg,Forest Fire Dataset,1,,
fire_0016.jpg,Forest Fire Dataset,1,,
fire_0017.jpg,Forest Fire Dataset,1,,
fire_0018.jpg,Forest Fire Dataset,1,,
fire_0019.jpg,Forest Fire Dataset,1,,
fire_0020.jpg,Forest Fire Dataset,1,,
fire_0021.jpg,Forest Fire Dataset,1,,
fire_0022.jpg,Forest Fire Dataset,1,,
fire_0023.jpg,Forest Fire Dataset,1,,
fire_0024.jpg,Forest Fire Dataset,1,,
fire_0025.jpg,Forest Fire Dataset,1,,
fire_0026.jpg,Forest Fire Dataset,1,,
fire_0027.jpg,Forest Fire Dataset,1,,
fire_0028.jpg,Forest Fire Dataset,1,,
fire_0029.jpg,Forest Fire Dataset,1,,
fire_0030.jpg,Forest Fire Dataset,1,,
fire_0031.jpg,Forest Fire Dataset,1,,
fire_0032.jpg,Forest Fire Dataset,1,,
fire_0033.jpg,Forest Fire Dataset,1,,
fire_0034.jpg,Forest Fire Dataset,1,,
fire_0035.jpg,Forest Fire Dataset,1,,
fire_0036.jpg,Forest Fire Dataset,1,,
fire_0037.jpg,Forest Fire Dataset,1,,
fire_0038.jpg,Forest Fire Dataset,1,,
fire_0039.jpg,Forest Fire Dataset,1,,
fire_0040.jpg,Forest Fire Dataset,1,,
fire_0041.jpg,Forest Fire Dataset,1,,
fire_0042.jpg,Forest Fire Dataset,1,,
fire_0043.jpg,Forest Fire Dataset,1,,
fire_0044.jpg,Forest Fire Dataset,1,,
